,단어,빈도수
0,등,15059
1,아모레퍼시픽,12163
2,일,11231
3,것,10905
4,년,9704
5,수,8461
6,억원,8168
7,중국,7476
8,화장품,7177
9,월,6438
10,한국,6396
11,기자,6270
12,이,6162
13,시장,6033
14,기업,5926
15,및,5879
16,브랜드,5683
17,제품,5392
18,주가,5146
19,삼성,5034
20,원,4996
21,회장,4901
22,만,4666
23,고,4638
24,투자,4546
25,그룹,4454
26,경제,4381
27,개,4278
28,를,4209
29,매출,4192
30,억,4097
31,서울,3944
32,피부,3875
33,지난해,3831
34,사업,3760
35,재,3725
36,금지,3493
37,상승,3450
38,무단,3425
39,증권,3421
40,전자,3407
41,위,3399
42,올해,3369
43,중,3318
44,배포,3300
45,만원,3297
46,대비,3295
47,통해,3255
48,종목,3248
49,전재,3237
50,거래,3195
51,대한,3121
52,국내,3091
53,뷰티,3008
54,실적,2983
55,선,2975
56,조,2966
57,주,2960
58,최근,2959
59,뉴스,2890
60,건강,2858
61,의,2853
62,전,2805
63,고객,2795
64,매수,2707
65,지난,2692
66,기록,2638
67,대표,2636
68,영업,2618
69,로,2575
70,기준,2561
71,분기,2549
72,이번,2548
73,며,2542
74,롯데,2535
75,순,2489
76,시,2480
77,이익,2476
78,산업,2471
79,사드,2430
80,판매,2417
81,이상,2395
82,하락,2366
83,업계,2342
84,가장,2309
85,업종,2301
86,생활,2294
87,제,2284
88,목표,2264
89,위해,2164
90,의견,2163
91,현재,2132
92,점,2124
93,성장,2120
94,매장,2116
95,달,2114
96,현대,2087
97,관련,2083
98,글로벌,2073
99,상품,2065
100,미국,2059
101,기관,2056
102,외국인,2050
103,업체,2004
104,배,2001
105,날,1987
106,최대,1934
107,바로가기,1912
108,세계,1909
109,그,1901
110,이후,1900
111,면세점,1898
112,은,1885
113,주식,1882
114,코스피,1869
115,규모,1846
116,주요,1841
117,지수,1840
118,세,1827
119,기술,1827
120,관계자,1771
121,분석,1731
122,소비자,1728
123,층,1726
124,명,1706
125,채널,1703
126,출시,1692
127,연구원,1685
128,계획,1683
129,예정,1680
130,때문,1663
131,여성,1656
132,회사,1649
133,더,1640
134,총,1640
135,개인,1637
136,약,1615
137,메이크업,1612
138,경영,1610
139,개선,1609
140,페이스북,1583
141,달러,1582
142,포인트,1573
143,수준,1569
144,대상,1543
145,후,1542
146,서비스,1539
147,내,1526
148,액,1523
149,각각,1517
150,와,1503
151,사진,1488
152,차,1482
153,대통령,1477
154,전문,1472
155,전년,1456
156,기,1439
157,전망,1401
158,직원,1392
159,아시아,1391
160,구매,1375
161,곳,1368
162,때,1355
163,비중,1346
164,매도,1345
165,라며,1339
166,행사,1332
167,분,1332
168,경우,1328
169,개발,1327
170,코스닥,1327
171,문화,1310
172,평균,1309
173,중국인,1306
174,지역,1297
175,또,1293
176,코스,1291
177,금융,1289
178,공간,1285
179,해외,1279
180,에서,1278
181,관광객,1254
182,이데일리,1247
183,온라인,1239
184,가격,1238
185,전체,1233
186,가치,1218
187,증시,1212
188,지원,1210
189,아모레,1207
190,관계,1204
191,제공,1189
192,신,1189
193,협력,1184
194,지속,1181
195,장,1179
196,기간,1178
197,라네즈,1168
198,모두,1165
199,과,1160
200,천,1158
201,도,1146
202,구독,1137
203,부회장,1137
204,연구,1136
205,분할,1129
206,할인,1127
207,정보,1125
208,케어,1125
209,전략,1121
210,현지,1117
211,평가,1116
212,증가,1111
213,대해,1108
214,가운데,1108
215,사회,1108
216,아이,1102
217,회,1100
218,화학,1100
219,혁신,1097
220,전자신문,1093
221,모든,1092
222,용산,1074
223,효과,1073
224,하나,1063
225,율,1060
226,보복,1058
227,정부,1057
228,사,1053
229,회복,1051
230,수출,1050
231,아리따움,1047
232,유통,1045
233,네이버,1043
234,부문,1043
235,시간,1042
236,결과,1040
237,설화수,1035
238,재단,1030
239,성분,1026
240,대감,1023
241,또한,1019
242,메,1019
243,서경,1017
244,호텔,1013
245,스,1007
246,최고,1001
247,모델,999
248,중심,994
249,인기,994
250,보이,987
251,센터,986
252,영향,976
253,본사,974
254,기사,973
255,액면,971
256,폭,967
257,직접,963
258,이니스프리,962
259,백화점,958
260,사람,958
261,변화,955
262,한중,955
263,셀트리온,953
264,마케팅,951
265,크림,938
266,소비,938
267,유지,935
268,종,932
269,데,931
270,앞,931
271,바이오,928
272,단체,928
273,기존,922
274,선물,917
275,현대차,914
276,자리,910
277,창업,907
278,상장,906
279,프리미엄,899
280,오른,897
281,성과,895
282,한편,888
283,반면,887
284,가지,887
285,가능성,887
286,디자인,885
287,세트,885
288,비,884
289,문,884
290,단계,880
291,연,878
292,뒤,874
293,호,871
294,마감,870
295,모습,868
296,바,859
297,쇼핑,856
298,두,853
299,오늘,848
300,별,836
301,종합,833
302,문제,831
303,분야,829
304,관광,829
305,선정,828
306,상위,827
307,임,826
308,조원,825
309,마스크,823
310,제약,823
311,제주,816
312,공식,815
313,모바일,813
314,관심,813
315,뉴시스,812
316,조정,810
317,라인,807
318,관리,803
319,동안,799
320,상황,797
321,신라,792
322,내년,790
323,여,789
324,티,788
325,코리아,781
326,프로그램,781
327,추가,778
328,활동,776
329,보유,775
330,사장,775
331,기능,770
332,수익,769
333,공시,766
334,제조,764
335,원대,764
336,식품,762
337,신세계,762
338,다른,761
339,중이,760
340,매매,760
341,률,755
342,오전,755
343,역시,755
344,투자자,754
345,말,753
346,신규,750
347,조사,741
348,일부,740
349,다시,737
350,확대,736
351,증권사,732
352,작년,728
353,디지털,728
354,수익률,727
355,헤라,725
356,환경,724
357,우리,717
358,팀,711
359,전국,710
360,인,708
361,안,708
362,카카오,704
363,속,703
364,감소,700
365,지금,697
366,강세,696
367,일보,695
368,이미지,694
369,방문,694
370,크게,694
371,스킨,693
372,강화,693
373,사용,692
374,부진,689
375,매물,689
376,풀,687
377,생산,686
378,이야기,684
379,개월,684
380,광고,684
381,적극,683
382,진출,681
383,시가총액,678
384,동기,674
385,정도,674
386,상,673
387,시설,672
388,이벤트,670
389,대기업,670
390,스타,670
391,일본,667
392,별로,664
393,저작권,663
394,처음,663
395,제보,662
396,쿠션,661
397,에뛰드하우스,658
398,양국,658
399,주목,656
400,보고,656
401,결정,651
402,준,651
403,어,651
404,패션,650
405,본격,649
406,입점,647
407,첫,643
408,온,642
409,전날,638
410,연속,634
411,교육,633
412,하이닉스,633
413,체계,631
414,동,629
415,집계,628
416,교수,628
417,여행,621
418,전일,618
419,연합뉴스,618
420,공동,617
421,대신,616
422,법인,615
423,한화,611
424,눈,610
425,컬러,607
426,단지,605
427,자연,604
428,정책,604
429,혜택,602
430,과정,602
431,힘,601
432,해당,599
433,다음,598
434,간,598
435,더욱,597
436,조치,597
437,전문가,590
438,호주,589
439,우려,586
440,긍정,585
441,움,585
442,기대,584
443,숍,584
444,향후,583
445,품목,582
446,박,581
447,무역,581
448,수요,580
449,미디어,580
450,무료,580
451,건,579
452,트렌드,577
453,비교,575
454,상승세,574
455,경험,571
456,물,570
457,오픈,566
458,만큼,565
459,업무,565
460,미래,565
461,국가,561
462,처,559
463,자산,559
464,보수,555
465,지난달,554
466,대형,553
467,전용,553
468,반도체,553
469,안티몬,553
470,흐름,551
471,소통,550
472,개최,549
473,회수,548
474,함유,547
475,금융투자,545
476,전기,544
477,커버,543
478,나,542
479,이유,542
480,대표이사,542
481,남성,542
482,공급,538
483,계열,534
484,시대,533
485,에센스,532
486,세상,532
487,자동차,531
488,외,529
489,보습,529
490,오설록,528
491,시스템,527
492,기반,527
493,김,526
494,컨센서스,525
495,최초,525
496,계약,525
497,구성,524
498,스틱,521
499,용,521
500,공략,520
501,친구,518
502,캠페인,518
503,번,517
504,운영,516
505,오후,516
506,주주,516
507,볼,515
508,마몽드,514
509,사상,514
510,국,514
511,공사,514
512,심리,513
513,분위기,512
514,스케,511
515,주로,510
516,신청,509
517,갤럭시,506
518,워터,505
519,발표,505
520,문재인,502
521,각,501
522,광,501
523,동시,500
524,건설,500
525,수분,496
526,특징,494
527,건물,489
528,공장,489
529,빅데이터,489
530,헬,488
531,물론,487
532,펀드,487
533,애경,486
534,기획,485
535,홀딩스,485
