writer,article,likes,replys_count,replys,datetime,img,tags
totokodeog_motd,오늘의 립-#아리따움 #젤리바 #멜팅슈#토니모리 #립톤겟잇틴트 #레드핫#넘버7 #하이샤인립글로즈 Grapefruit Shimmer-#cosmetics #makeup #화장품 #메이크업 #코덕 #코덕스타그램 #뷰덕 #뷰덕스타그램 #뷰티스타그램 #뷰스타그램 #뷰티 #틴트 #데일리 #립,4310,8,"(1, 'themonthapril', '@aoibhok'), (2, 'discosoap', '귀엽습니다💋✨'), (3, 'rise.ladiescode', '❤️❤️예쁜❤️❤️'), (4, 'kn.viet', 'wow daebak 😂💖'), (5, 'dexter_knofie', 'I like it♡'), (6, 'yurusenai_mi', 'Beauty lips :*'), (7, 'makeupunnies', 'Love this!'), (8, 'mykikifactory', '너무 이뻐요🌸')",2017-12-09 13:04,https://scontent-icn1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/25011926_1419760861467719_7773543226941636608_n.jpg,"'#아리따움', '#젤리바', '#멜팅슈', '#토니모리', '#립톤겟잇틴트', '#레드핫', '#넘버7', '#하이샤인립글로즈', '#cosmetics', '#makeup', '#화장품', '#메이크업', '#코덕', '#코덕스타그램', '#뷰덕', '#뷰덕스타그램', '#뷰티스타그램', '#뷰스타그램', '#뷰티', '#틴트', '#데일리', '#립'"
aritaum_official,[로맨틱 홀리데이_LET IT SNOW]아직도 겨울네일 뭐할지 고민중이시라구요?-차분한 그레이에 눈꽃을 얹어주니눈이오는 겨울 밤 같아요❄️-매트한 탑 코트를 발라포근한 느낌으로 마무리!-고요한 겨울분위기를 내고싶다면따라해보세요!🎄-#크리스마스네일 #연말네일 #고요한밤#로맨틱홀리데이 #셀프네일 #네일아트#모디 #modi #아리따움#ARITAUM,537,1,'0',2017-12-13 01:34,https://scontent-icn1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/25011926_1419760861467719_7773543226941636608_n.jpg,"'#크리스마스네일', '#연말네일', '#고요한밤', '#로맨틱홀리데이', '#셀프네일', '#네일아트', '#모디', '#modi', '#아리따움', '#ARITAUM'"
fascinate_s,호잇 새로운 아이메이크업영상이!!원브랜드꿀조합 담아봤으니 불토! 불일!에 도전해봐요우리❤️영상링크는 프로필에!!🤫🤫https://youtu.be/38B7gJfH70M.#뷰티유튜버 #아리따움 #색조합 #아이메이크업 #eyemakep #aritaum #쏭냥 #beautyyoutuber,526402,55,"(1, 'youngju42835', '영상 올라오자마자 바로 봣습니당~'), (2, 'jiyeon.s_', '눈화장은 역시 쏭냥이 갑👍'), (3, 'younunhee91', '보러갑니다융~ 알람왔는데 씻고있어소 막 \U0001f92bㅋㅋㅋㅋㅋ'), (4, 'dmswjd305', '넘나이쁘구유❤'), (5, 'ohmydaisy521', '우와우 금손💕💕💕💕'), (6, 'emiliajo22', '이뿌당😍 @_keuna_a'), (7, 'kangnajj', '블로그때부터 눈이 넘나예뻐서 핡핡거렸더랬지'), (8, '5.28kg', '이쁘면 반칙 ㅠ!!!'), (9, 'jeongha99', '와 진짜 ...화장하고싶어지는 영상 ♡ 예뻐요 언니'), (10, '_keuna_a', '@emiliajo22 진짜 화장두 이쁜데 언니얼굴이 진짜 다햇음.....♡'), (11, 'lilbitdanica', '@jrevilla_ fits your eyes'), (12, 'populzzang_mag', '@fascinate_s 안녕하세요.Popdaily입니다!DM 확인 부탁드립니다 : )'), (13, 'sso_0621', '언니! 혹시 브러쉬 정보도 알 수 있어요??'), (14, 'livingjadely', '@elolzaa'), (15, 'thedailyblush', 'Love!'), (16, 'j.vxp', 'What palette did she use😍😍😍😍omg her eye makeup is amazing'), (17, 'nin.a_l', '@bertha.lee_'), (18, 'misskachang', ""Sweet & simple. I'll have to try this technique. It'll cut down the blending time.""), (19, 'mood__luv', '@gyeong_zz_ang'), (20, 'aimable_0_', '@hznee'), (21, 'ji_1ee', '헐....... 아이메이크업 완전 신비로워요..... 색감 짱짱걸👍......❣️'), (22, 'foodxeater', '😍'), (23, '_carolineeelee', '@zzzeongeee ???'), (24, 'zzzeongeee', '@_carolineeelee i got no 쌍꺼풀 for that'), (25, 'gginang', '@anhthumeomeo'), (26, 'purposx.gold', 'Idk how to say this but i love the eyes like they are so beautiful'), (27, 'kszet_', 'slow down please😂'), (28, 'steffihong_', '@nanabearlv'), (29, 'em.ey.es', '@trisha_shane22 try mo toh! Maganda to sayo for sure. 😀😀'), (30, 'xiaoxiannvers', ""What's the color number of the eyeshadow?""), (31, 'angie.rhee', 'what are the brushes being used?'), (32, 'edithgonzalezz', 'What contacts is she using??'), (33, 'fascinate_s', '@angie.rhee you can see it on my youtube channel!(ssongyang)'), (34, 'fascinate_s', '@xiaoxiannvers you can see it on my youtube channel (ssongyang)'), (35, 'angie.rhee', '@fascinate_s thank you :)'), (36, 'ailiiin_lin', '@phuphu.licious'), (37, 'taesthetic.yoongi', 'Oh gosh I love that color'), (38, 'bbbbbbeiyi', '@beiyibbb'), (39, 'xaliceh', '@dayzlee28'), (40, 'elaquezada', 'Love it sooo much!'), (41, 'gabriele_low', '@madeline_chow @lowxinwei  tutorial'), (42, 'namyeol.annie', '@yeo.ya Ima try to attempt this'), (43, 'janiekexk', '@1wenlee'), (44, 'shayslee', '@eunx_xice 너 이거 잘 어울릴것같아!!😍'), (45, 'eunx_xice', '@shayslee 헤익 붉고 붉다 ㅋㅋㅋㅋ 내일해보께 헤잇ㅋㅋㅋㅋㅋㅋㅋ'), (46, 'cj.dacquel', 'What palette did you use??'), (47, 'therese.du', 'What song is this??'), (48, 'the_cosmic_cookie', 'I need to know this song!💙💚'), (49, 'em.huynh', ""@nessa.ngyn this looks like that girl's makeup from BP 😂""), (50, 'nessa.ngyn', '@em.huynh OHH YESSS😂😂'), (51, 'thereal.pusillanimous', 'Music?'), (52, 'jamie.ku', '@lauren.yim like this kind of makeup??'), (53, 'lauren.yim', '@jamie.ku yes! but like a little less pink'), (54, 'kathypancakes', '@sugarfloo lolll that cranberry 😂'), (55, 'helenthelittleasian', 'I love this and the music')",2017-12-01 10:40,https://scontent-icn1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/25011926_1419760861467719_7773543226941636608_n.jpg,"'#뷰티유튜버', '#아리따움', '#색조합', '#아이메이크업', '#eyemakep', '#aritaum', '#쏭냥', '#beautyyoutuber'"
hanyulofficial,"입술이 갈라지기 쉬운 겨울,#자연감성 으로 향기롭고 촉촉하게 케어하세요. #자연을닮은립밤_#한율립밤 #한율자연템 #립밤 #한율 #HANYUL #아리따움 #뷰스타그램 #립밤추천 #자연주의 #LipBalm #kbeauty",370,2,"(1, 'ilovenail.wonju', '잘 보고 갑니다✌'), (2, 'sttoberry', '이거 핑크색 쓰고있는데 좋아요오👍👍')",2017-12-12 02:34,https://scontent-icn1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/25011926_1419760861467719_7773543226941636608_n.jpg,"'#자연감성', '#자연을닮은립밤_', '#한율립밤', '#한율자연템', '#립밤', '#한율', '#HANYUL', '#아리따움', '#뷰스타그램', '#립밤추천', '#자연주의', '#LipBalm', '#kbeauty'"
betweendots,"Do you wait for your Black Friday and pre-Black Friday orders? I still wait for mine, I feel like they'll finally come to me after Christmas, even if some of them were sent to me as EMS. Meanwhile, I keep spending all day making my portfolio but today I feel like it's a day for a mild scrub so I'll go with this Aritaum Fresh Power Essence Pouch Pack. Just to mention - my flowers, the one you can see in almost every photo just died, I've changed sunblinds last week and the room right now is so cold since new sunblinds are different and literally flowers and Fifi can't get used to this change - some flowers started to grown, other just died and my dear Fifi keeps waking me up every 15-60 minutes at night.#aritaum #kbeauty #abcommunity #rasianbeauty #skincare #cosmetics #beauty #skincareaddict #vsco #vscocam #koreanskincare #asianskincare #peeling #minimalism #flatlay #kosmetyki #koreanskiekosmetyki #косметика #корейскаякосметика #азиатскаякосметика #스킨케어 #뷰티 #아리따움",202,11,"(1, 'properrosy', 'I still have like 4 to come...! ☹️'), (2, 'okiemjustyny', 'Taaak. Czekam jeszcze na pędzelki... z utęsknieniem.'), (3, 'coco_academy', '반갑습니다!'), (4, 'bellitkaa', 'Nic takiego nie kupiłam, więc nie czekam 😂'), (5, 't_li_does', 'Awwww. I hate that even indoor plants are like noooooo not weather changes ! Poor things. Picture and product look great though 😝'), (6, 'onalwaystogether', 'Ja czekam na paczkę z zagranicy ❤'), (7, 'organic_radiance', 'love it'), (8, 'joyofjelly', 'Ja to teraz czekam na moje trzy zamówienia, liczę że mi nie naliczą cła 😂\U0001f91e🏻'), (9, 'zmienionyrytm', 'Do mnie przyszła ostatnia paczka z DDD 😉'), (10, 'ekstrawagancka', 'U mnie już wszystko dotarło :)'), (11, 'fotografkaa', 'Też długo czekałam na przesyłkę :/')",2017-12-12 19:33,https://scontent-icn1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/25011926_1419760861467719_7773543226941636608_n.jpg,"'#aritaum', '#kbeauty', '#abcommunity', '#rasianbeauty', '#skincare', '#cosmetics', '#beauty', '#skincareaddict', '#vsco', '#vscocam', '#koreanskincare', '#asianskincare', '#peeling', '#minimalism', '#flatlay', '#kosmetyki', '#koreanskiekosmetyki', '#косметика', '#корейскаякосметика', '#азиатскаякосметика', '#스킨케어', '#뷰티', '#아리따움'"
populzzang_mag,韓系holiday系列part5☃️眼影的霸主Aritaum終於出了一個大便當啦！這次的12色眼影盤，從粉到棕、從霧到閃通通有，要低調要開趴通通罩得住，簡簡單單就能完成一個華麗眼妝，眼影控可以準備囉！(往右滑有超貼心的妝容教學❤️）－📷via. @uqmakeup （감사합니다 😊)🔎詳細報導：bit.ly/2jJQO2H－#populzzang #ARITAUM #아리따움 #드리미홀리데이섀도팔레트 #코덕 #신상 #新作コスメ—👉 在照片或影片下方標註 #populzzang 跟我們分享你的美妝大小事吧：）,1909,5,"(1, 'suki__yew', '@peggy_lo0525 美到咬手手了！'), (2, 'sothisisceline', '@snowliew'), (3, 'oh_newkey', '@kim_apo 我是不是可以拋棄missha了'), (4, 'lady_favourites', '包裝美到爆炸😱'), (5, 'kim_apo', '@oh_newkey 很美ㄟ！')",2017-12-08 10:03,https://scontent-icn1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/25011926_1419760861467719_7773543226941636608_n.jpg,"'#populzzang', '#ARITAUM', '#아리따움', '#드리미홀리데이섀도팔레트', '#코덕', '#신상', '#新作コスメ—👉', '#populzzang'"
harpersbazaarkorea,#아리따움(@aritaum_official) 제품으로 완성한 크리스마스 네일 룩💅🏻 산타와 루돌프를 손톱에 얹으려면 어떻게 해야 할까요? 다른 윈터 네일도 보고 싶다면 페이스북에서 확인하세요!,677,2,"(1, 'cheryl_tgh', 'Remember you 😘 @anitasagita haha'), (2, 'anitasagita', 'Hahaaa @cheryl_tgh pertemuan dan setiap menit qta habiskan terasa sgt berkesan ya cherrrr wkwkkwk')",2017-12-12 02:52,https://scontent-icn1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/25011926_1419760861467719_7773543226941636608_n.jpg,'#아리따움'
kimheeseon_fanpage,2017 AAA 시상식 아티스트 배우부분 영예의대상🎉🏆#김희선 🌟Korea Hot Star Kimheeseon🌟세상 혼자 사는 외모의 소유자 #품위있는그녀 김희선희선님께서 이번에 새롭게화이트진로에서 출시한 프리미엄 소주참나무통 맑은이슬 모델이 되셨는데새로운 기사사진 떠서 올려 드려요~^^ 이제 소주는 #참나무통맑은이슬요즘 너무#hot 해💞 핫해💞 시간이 지나도 변하지 않는아름다움의 결정 김희선언제나 본인이 맡은바 늘 최선을 다하며 멋진모습을 보여주는 대한민국의 멋진배우언제 어디서나 영원토록 빛날대한민국의 #star 김희선1년 365일 언제나 게임은액스 함께해요~♡대한민국은 지금 액스열풍🌬🌬 ✔섬총사를 사랑해 주시는 많은 분들 덕분에 최고 시청률을 경신 했어요~~ 5.4%를 넘엇습니다!!👏👏👏모두~모두 감사 드립니다😄 🌟매주 월요일밤 10시50분⛱#섬총사🏝 ✔품위녀를 사랑해 주시는 많은 분들 덕분에 jtbc 방송국 드라마 최고 시청률을 경신 했어요~~ 12%를 넘엇습니다!! 모두 감사 드려요😊 💞💝💘💓💛💜💚💙 대한민국을 대표하는 여배우🌹@lovely.katie.k👠김희선님 소속사 인스타도 많이 방문해 주시고 팔로 해주세요~👒@ent.hinge🌷 희선님 스타일리스트구원서 실장님 인스타에도 많이 방문해 주세요😁@bornonthebeach_ 💞💝💘💓💛💜💚💙 배우 김희선💋은 행복 입니다꽃 보다 아름다운 그녀❤김희선 🌹🌸🌻🌼🌸🌺🏵💐🌷 늘 꽃길만 걸으시길 바래요언제나 김희선님 팬이라서 행복합니다언제 어디서나 빛나는 그녀는대한민국의 대표 여배우 늘 한결같고~ 언제나 성실하며 당당하고 멋진분 그래서 더욱더 눈부시고 아름답다~♡ ⛥클래스는 영원하다⛥예의바른 배우⛥품위있는 배우⛦팬을 아끼는 배우⛥지킬건 지키는 배우⛥미소가 아름다운 배우⛥진정성이 느껴지는 배우⛥일상이 화보 자체인 배우⛥이세상 가장 아름다운배우⛥언제 어디서나 빛나는 배우⛥형광등 101개 켜놓은 아우라⛥외모만큼 마음도 곱디고운 배우⛥늘 모든일에 최선을 다하는 배우⛥시간이 지나도 변하지 않는 멋진배우아름답다 김희선💕김희선이라 행복해요😍#金喜善#kimheeseon #힌지엔터테인먼트#princess#selfie#game#beautiful#flower#lovely#Style#photo#black#korea#movie#lancome#sexy#onepiece#아리따움#사진#love#rose#followme#apple,167,1,"(1, 'shout_out_featuring', 'Wowwwww you are so Beautiful 😍😍😍 Please message me i love to feature you in my page')",2017-12-12 05:14,https://scontent-icn1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/25011926_1419760861467719_7773543226941636608_n.jpg,"'#김희선', '#품위있는그녀', '#참나무통맑은이슬요즘', '#hot', '#star', '#섬총사🏝', '#金喜善', '#kimheeseon', '#힌지엔터테인먼트', '#princess', '#selfie', '#game', '#beautiful', '#flower', '#lovely', '#Style', '#photo', '#black', '#korea', '#movie', '#lancome', '#sexy', '#onepiece', '#아리따움', '#사진', '#love', '#rose', '#followme', '#apple'"
kkkkzizi,"역시 화장은 급하게 해야 잘되나봐요이십분안에 후딱 파바박 했더니 잘됨,,안 바르던거 바른다고 공들이면 항상 이상하더라구요ㅜㅠ 똥손,,.이니스프리 미네랄메이크업베이스 보라색얼굴에 슥슥해서 똥퍼프 물먹인걸로 두드리고 페리페라 쿠션으로 챱챱피부하기전에 싸이닉 히알루론산스킨 네번 찹찹 먹임요새 하도 건조하고 떠가지고 이렇게 안해주면 피부가 고통받음ㅠ이거 씨큐님이 추천하시는 글 보고 샀는데 진짜 좋아요!!속건조 잘 잡아줌.투쿨포스쿨 바이로댕 쉐딩 제일 옅은 컬러로 눈두덩이 슥슥 해주고 중간이랑 제일 진한 컬러 섞어서 쌍커풀에 음영 줬어요!그리고 미샤 그레이프캔디로 눈두덩이에 펄 얹어주고 언더에도 슥슥해줌언더펄이 부족한거 같아서 다이소 얇은 납작붓으로 아리따움 핑크오이스터 점막 근처에 스윽 세번!언더펄이 크고 반짝반짝해야 생기있어보임,,애교살이 없으니 다이소 납작붓 얇은걸로 삐아 피넛블로썸 슥슥해서음영넣어줍니다..제가 언더에 펄 많이 얹는 이유기도 해요ㅋㅋㅋ눈 밑에 살이 없어가지고ㅠㅠ여튼 카이뷰러로 찝어주고 키스미 보라색 마스카라로 슥슥.립은 페리페라 조기품절 발라주고마몽드 망고스틴 얇게 스윽.뒷 사진은 전체적 느낌 보시라고 넣었는데 그냥 취한 사람 같네여ㅎㅎ나참,,ㅋㅋㅋ조명이 노래서 그런가 더 뻘겋고...!넘 추운데 감기 조심하세요 다들😭♥️.#투쿨포스쿨#아트바이로댕#미샤#그레이프캔디#아리따움#핑크오이스터#마몽드#망고스틴#페리페라#조기품절",689,38,"(1, 'kkkkzizi', '#cosmetics#beauty#follow#lips#makeuplover#makeup#motd#daily#koreanmakeup#dailymakeup#instabeauty#makeupjunkie#l4l#selfie#코덕#뷰티스타그램#코덕스타그램'), (2, 'dbwls7320', '인스타 타고왔어요 소통하며 지내요~~ :)'), (3, 'hyelynneeee', '와ㅏ예뻐요 👏🏻👏🏻👏🏻😵'), (4, 'som_jamong', '넘나리 예뿐것..(흰별)'), (5, 'yuninso', '입술 대봑👍🏻'), (6, 'sososo_emma', '킁지님 눈빛에 취하고 갈게요♥️🔥😍'), (7, 'dl98tj_', '혹시 렌즈 뭐 쓰시는지 알 수 있을까요?'), (8, 'hyebboo', 'ㅠㅠㅠ넘나이뿌요'), (9, 'naresh883', 'I love you'), (10, 'kkkkzizi', '@sososo_emma 저는 항상 엠마님 눈빛에 취합니다ㅠㅜ,,♥️ 쏘 스윗 엠마님\U0001f92d♥️'), (11, 'kkkkzizi', '@dl98tj_ 오렌즈 안나수이 돌리걸 틴트 브라운 입니당!!'), (12, 'kkkkzizi', '@hyebboo 감사합니당😭💕'), (13, 'kkkkzizi', '@som_jamong 넘나리 감사한것,,,(왕하트)💕'), (14, 'kkkkzizi', '@hyelynneeee 감사합니다😍💕💕'), (15, 'kkkkzizi', '@yuninso 칭찬 감사함당😍💋'), (16, 'narang_b_', '미모가 다하신것 같숩니다👏👏👏'), (17, 'not_pretty_but_cool', '그것은 킁지님이 예쁘시기 때문이져'), (18, 'mutying_a', '끄앙 킁쨘 존예😍💕 글도 정독했습니닷!!! 역시 킁지쨘도 가벼운 음영에 펄응 펄펄올리는군여><'), (19, 'livebymyself_', '화완얼...'), (20, 'marit510', '안녕하세요^^'), (21, 'soovely001022', '헐 보라색 너무 좋아요 메베 최고 ㅜㅜㅜㅜ 너무 이뻐용ㅎㅎ'), (22, 'so.p.a', '진챠,,입술만이뿌신게아니였군여\U0001f92d'), (23, 'youtoueuxdd', '셀카어플정보알수있을까요 ㅜㅜ 너무이뻐여 !!!'), (24, 'ciel8898', '맞아요 ㅋㅋㅋㅋ 안 바르던거 개시하려고 꺼내서 바르면 그날따라 맘에 안 들고 시간도 오래 걸리고 ㅋㅋㅋ 급하게 하는 화장, 화장 지우기 하기 전에 하는 화장이 젤 맘에 들어요 ㅋㅋ'), (25, 'beamhill_motd', '킁지님 진짜 이거 저장해두고 맨날 볼래여ㅠㅠㅠㅠㅠ 넘 이쀼리..'), (26, 'yeppijin', '입술보고 너무 반했었는데 입술뿐 아니라 하나하나 다 이쁘시네요...ㅠ 정말 공감해요!! 저도 시간 남았길래 이것저것 써보면서 공들여갖고 화장하면 결과물이 맘에 안드는데 아침에 늦어가지고 20분컷 하면 친구들이 오늘 이쁘네~ 하는것 , , ,..기부니 이상해여ㅠㅎㅎㅎ'), (27, 'kkkkzizi', '@youtoueuxdd 푸디 포지타노 1번 필터 조금만 설정해서 찍었어용!!!'), (28, 'kkkkzizi', '@mutying_a 헿헿 뮤팅짱도 가볍게 눈화장 하시는구만유,,,💕눈화장에 신경 쓸 수록 더 안어울리는 신기한 톤입니다 증맬로ㅜㅠ😭😭'), (29, 'kkkkzizi', '@so.p.a 헉헉 아니에요,,수줍,,감사합니당😭💕'), (30, 'kkkkzizi', '@soovely001022 그쵸그쵸 저도 저 메베만 거의 세통 쓰고 있는 것 같아요ㅋㅋㅋ👍🏻👍🏻감사함당😍'), (31, 'kkkkzizi', '@narang_b_ 아닙네다,,화장품 최고 펄 최고에여ㅠㅠ💕'), (32, 'kkkkzizi', '@not_pretty_but_cool 헉스 아닙니다아닙니다 저는 예쁘지 않습네다,,😭💕'), (33, 'kkkkzizi', '@ciel8898 역시 달빛님도...! 저만 그런게 아닌가봐요ㅋㅋㅋ 맞아요 정말 좀 새롭게 화장 해볼까하면 너무 안어울리고,,급하게 쓰던대로 무난하게 잘 어울리는거 쓰니까 더 잘받는 것 같아요😭😭'), (34, 'kkkkzizi', '@beamhill_motd 갸악 비밀넴!!!!!!!!!ㅋㅋㅋㅋㅋ전 비밀넴 브이로그 맨날 보고 싶은데여ㅠㅠ😭😭💕'), (35, 'kkkkzizi', '@yeppijin 그쵸ㅋㅋㅋㅠㅠ 저도 맨날 그래여,,공들일 수록 안어울려지고 뭔가 어색한 느낌이라 그냥 평소하던댜로 챱챱 하는게 젤 베스트더라구여!! 역시 익숙한게 최고같아요ㅋㅋㅋ헿헿 감사합니당🙈💕'), (36, 'soovely001022', '@kkkkzizi 우앙 ㅎㅎㅎ댓글감사해용 ㅎㅎ이쁜하루보내세요'), (37, 'fromjosee', '아 킁지님 세상 공감 ㅠㅠㅠ 오히려 공들인 날이 더 맘에 안 들어여 후..'), (38, 'kkkkzizi', '@fromjosee 그쵸 조제님ㅠㅠ 열심히 바르면 뭔가 더 이상한 느낌이고ㅋㅋㅋㅋ역시 뭐든 대충해야...ㅋㅋㅋㅋ🙄♥️♥️')",2017-12-09 02:30,https://scontent-icn1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/25011926_1419760861467719_7773543226941636608_n.jpg,"'#투쿨포스쿨', '#아트바이로댕', '#미샤', '#그레이프캔디', '#아리따움', '#핑크오이스터', '#마몽드', '#망고스틴', '#페리페라', '#조기품절'"
___kosoobin,맞아~ 딱 중간을 맞추는건 어렵댕 👁-..#instagram #daily #글 #글스타그램 #대낮에 #감성 #새벽도아니고 #우리가사는온도 #책 #스크랩 #출근 #일상 #makeup #beauty #화장품 #아리따움 #f #follow #like4like #소통,18,1,'0',2017-12-13 01:48,https://scontent-icn1-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/25011926_1419760861467719_7773543226941636608_n.jpg,"'#instagram', '#daily', '#글', '#글스타그램', '#대낮에', '#감성', '#새벽도아니고', '#우리가사는온도', '#책', '#스크랩', '#출근', '#일상', '#makeup', '#beauty', '#화장품', '#아리따움', '#f', '#follow', '#like4like', '#소통'"
